Round,Position,Team,Played,Premiership_Points,Percentage
1,1,PA,1,4,180.0
1,2,WC,1,4,143.1
1,3,ME,1,4,137.9
1,4,SY,1,4,133.0
1,5,RI,1,4,131.3
1,6,WB,1,4,130.2
1,7,AD,1,4,113.2
1,8,SK,1,4,110.3
1,9,HW,1,4,101.1
1,10,ES,1,0,98.9
1,11,GW,1,0,90.7
1,12,GE,1,0,88.3
1,13,CW,1,0,76.8
1,14,CA,1,0,76.2
1,15,BL,1,0,75.2
1,16,FR,1,0,72.5
1,17,GC,1,0,69.9
1,18,NM,1,0,55.6
2,1,PA,2,8,181.5
2,2,RI,2,8,141.9
2,3,SY,2,8,135.2
2,4,ME,2,8,130.5
2,5,WB,2,8,115.8
2,6,GC,2,4,127.9
2,7,WC,2,4,111.4
2,8,FR,2,4,106.6
2,9,CW,2,4,103.2
2,10,SK,2,4,94.1
2,11,GE,2,4,94.0
2,12,AD,2,4,90.1
2,13,HW,2,4,83.4
2,14,BL,2,0,84.5
2,15,CA,2,0,78.2
2,16,GW,2,0,77.5
2,17,ES,2,0,73.9
2,18,NM,2,0,48.4
3,1,WB,3,12,181.6
3,2,SY,3,12,142.9
3,3,ME,3,12,137.2
3,4,PA,3,8,129.0
3,5,WC,3,8,124.0
3,6,RI,3,8,103.7
3,7,GE,3,8,97.6
3,8,AD,3,8,96.3
3,9,GC,3,4,111.1
3,10,ES,3,4,107.2
3,11,CW,3,4,101.8
3,12,CA,3,4,99.6
3,13,BL,3,4,88.8
3,14,HW,3,4,86.1
3,15,FR,3,4,85.3
3,16,SK,3,4,72.8
3,17,GW,3,0,73.5
3,18,NM,3,0,37.4
4,1,WB,4,16,171.1
4,2,ME,4,16,138.2
4,3,SY,4,16,133.5
4,4,PA,4,12,122.5
4,5,AD,4,12,108.2
4,6,WC,4,8,110.6
4,7,CA,4,8,103.0
4,8,RI,4,8,102.2
4,9,FR,4,8,93.6
4,10,GE,4,8,90.7
4,11,SK,4,8,83.5
4,12,ES,4,4,104.7
4,13,GC,4,4,104.5
4,14,CW,4,4,91.8
4,15,GW,4,4,87.2
4,16,BL,4,4,85.8
4,17,HW,4,4,85.6
4,18,NM,4,0,43.0
5,1,WB,5,20,178.6
5,2,ME,5,20,147.6
5,3,SY,5,16,127.2
5,4,PA,5,16,125.8
5,5,RI,5,12,124.9
5,6,WC,5,12,115.2
5,7,AD,5,12,104.0
5,8,GE,5,12,99.7
5,9,FR,5,12,97.7
5,10,BL,5,8,101.8
5,11,CA,5,8,95.8
5,12,GW,5,8,89.9
5,13,SK,5,8,71.4
5,14,ES,5,4,91.4
5,15,GC,5,4,87.9
5,16,CW,5,4,87.4
5,17,HW,5,4,77.6
5,18,NM,5,0,45.4
6,1,WB,6,24,175.3
6,2,ME,6,24,150.7
6,3,PA,6,20,136.3
6,4,GE,6,16,123.0
6,5,SY,6,16,113.9
6,6,FR,6,16,109.4
6,7,RI,6,12,113.0
6,8,BL,6,12,105.2
6,9,AD,6,12,102.7
6,10,WC,6,12,93.6
6,11,GC,6,8,98.1
6,12,ES,6,8,97.1
6,13,CA,6,8,93.2
6,14,GW,6,8,84.3
6,15,HW,6,8,82.3
6,16,SK,6,8,67.0
6,17,CW,6,4,85.4
6,18,NM,6,0,45.9
7,1,ME,7,28,149.1
7,2,WB,7,24,157.0
7,3,PA,7,20,120.2
7,4,SY,7,20,112.1
7,5,GE,7,16,118.5
7,6,RI,7,16,115.9
7,7,BL,7,16,114.1
7,8,WC,7,16,103.9
7,9,FR,7,16,97.1
7,10,GC,7,12,102.9
7,11,GW,7,12,97.6
7,12,CA,7,12,96.9
7,13,AD,7,12,92.1
7,14,SK,7,12,80.0
7,15,ES,7,8,95.2
7,16,HW,7,8,75.3
7,17,CW,7,4,83.4
7,18,NM,7,0,49.2
8,1,ME,8,32,145.1
8,2,WB,8,28,150.2
8,3,PA,8,24,127.7
8,4,GE,8,20,127.5
8,5,BL,8,20,116.4
8,6,SY,8,20,109.5
8,7,WC,8,20,109.2
8,8,RI,8,16,102.8
8,9,GW,8,16,98.3
8,10,FR,8,16,93.9
8,11,SK,8,16,82.7
8,12,GC,8,12,101.0
8,13,CA,8,12,95.2
8,14,AD,8,12,86.4
8,15,ES,8,8,95.6
8,16,CW,8,8,87.9
8,17,HW,8,8,73.5
8,18,NM,8,0,52.7
9,1,ME,9,36,144.3
9,2,WB,9,32,146.9
9,3,GE,9,24,128.8
9,4,BL,9,24,126.4
9,5,PA,9,24,120.6
9,6,SY,9,24,113.2
9,7,WC,9,24,112.2
9,8,RI,9,20,103.1
9,9,GW,9,16,98.0
9,10,FR,9,16,93.5
9,11,SK,9,16,81.5
9,12,ES,9,12,96.8
9,13,CA,9,12,92.6
9,14,GC,9,12,90.5
9,15,AD,9,12,84.6
9,16,CW,9,8,85.1
9,17,HW,9,8,75.4
9,18,NM,9,4,57.4
10,1,WB,10,36,161.9
10,2,ME,10,36,137.7
10,3,GE,10,28,131.4
10,4,BL,10,28,127.6
10,5,PA,10,28,119.1
10,6,SY,10,24,111.5
10,7,WC,10,24,109.0
10,8,GW,10,20,100.1
10,9,RI,10,20,99.3
10,10,FR,10,20,94.4
10,11,ES,10,16,105.0
10,12,CA,10,16,95.7
10,13,AD,10,16,86.2
10,14,SK,10,16,72.6
10,15,GC,10,12,87.3
10,16,CW,10,8,86.0
10,17,HW,10,8,75.2
10,18,NM,10,4,56.3
11,1,ME,11,40,138.5
11,2,WB,11,36,150.6
11,3,BL,11,32,133.5
11,4,GE,11,32,130.6
11,5,PA,11,32,123.3
11,6,SY,11,28,113.0
11,7,WC,11,24,106.4
11,8,RI,11,24,102.4
11,9,ES,11,20,106.2
11,10,GW,11,20,93.3
11,11,FR,11,20,90.2
11,12,SK,11,20,76.4
11,13,CA,11,16,93.9
11,14,GC,11,16,92.7
11,15,AD,11,16,85.0
11,16,CW,11,8,85.8
11,17,HW,11,8,74.4
11,18,NM,11,4,57.9
12,1,ME,12,44,137.6
12,2,WB,12,40,150.0
12,3,GE,11,32,130.6
12,4,BL,12,32,127.3
12,5,PA,11,32,123.3
12,6,SY,12,32,112.9
12,7,WC,12,28,108.2
12,8,RI,12,28,106.2
12,9,ES,12,20,102.0
12,10,GW,11,20,93.3
12,11,FR,12,20,88.4
12,12,SK,12,20,77.6
12,13,GC,11,16,92.7
12,14,CA,12,16,92.4
12,15,AD,12,16,85.6
12,16,CW,12,12,87.5
12,17,HW,11,8,74.4
12,18,NM,11,4,57.9
13,1,ME,13,44,132.2
13,2,WB,12,40,150.0
13,3,GE,12,36,129.7
13,4,BL,12,32,127.3
13,5,PA,12,32,118.0
13,6,SY,13,32,108.1
13,7,WC,13,32,107.9
13,8,RI,13,28,105.3
13,9,FR,13,24,91.4
13,10,GW,12,22,93.9
13,11,ES,12,20,102.0
13,12,AD,13,20,86.9
13,13,SK,13,20,78.3
13,14,CA,12,16,92.4
13,15,GC,12,16,90.4
13,16,CW,13,16,89.9
13,17,HW,12,12,79.0
13,18,NM,12,6,61.0
14,1,ME,13,44,132.2
14,2,WB,13,40,144.7
14,3,GE,13,40,127.7
14,4,BL,13,36,128.4
14,5,PA,13,36,122.9
14,6,SY,13,32,108.1
14,7,WC,13,32,107.9
14,8,RI,13,28,105.3
14,9,GW,13,26,97.6
14,10,ES,13,24,103.0
14,11,FR,13,24,91.4
14,12,AD,13,20,86.9
14,13,SK,13,20,78.3
14,14,CA,13,16,90.1
14,15,CW,13,16,89.9
14,16,GC,13,16,86.3
14,17,HW,13,12,79.4
14,18,NM,13,6,61.3
15,1,ME,14,48,131.4
15,2,WB,14,44,148.6
15,3,BL,14,40,131.5
15,4,PA,14,40,122.2
15,5,GE,14,40,120.6
15,6,SY,14,32,106.6
15,7,WC,14,32,102.6
15,8,RI,14,28,101.5
15,9,FR,14,28,93.0
15,10,GW,14,26,96.2
15,11,ES,14,24,101.9
15,12,SK,14,24,82.1
15,13,CA,14,20,91.4
15,14,AD,14,20,86.9
15,15,CW,14,16,89.7
15,16,GC,14,16,86.4
15,17,HW,14,16,82.0
15,18,NM,14,10,63.7
16,1,WB,15,48,147.6
16,2,ME,15,48,128.5
16,3,BL,15,44,134.7
16,4,PA,15,44,124.4
16,5,GE,15,44,123.4
16,6,SY,15,36,114.5
16,7,WC,15,32,95.3
16,8,GW,15,30,97.1
16,9,RI,15,28,100.6
16,10,FR,15,28,92.2
16,11,SK,15,28,83.7
16,12,ES,15,24,98.7
16,13,CA,15,24,93.0
16,14,GC,15,20,88.0
16,15,AD,15,20,84.2
16,16,CW,15,16,89.5
16,17,HW,15,16,80.7
16,18,NM,15,10,64.3
17,1,ME,16,52,129.9
17,2,WB,16,48,142.4
17,3,GE,16,48,124.9
17,4,BL,16,44,129.0
17,5,PA,16,44,119.8
17,6,SY,16,40,115.4
17,7,FR,16,32,97.3
17,8,WC,16,32,94.8
17,9,SK,16,32,86.9
17,10,GW,16,30,97.2
17,11,ES,16,28,103.4
17,12,RI,16,28,99.3
17,13,CA,16,24,91.5
17,14,GC,16,24,88.7
17,15,CW,16,20,91.4
17,16,AD,16,20,80.8
17,17,HW,16,16,77.8
17,18,NM,16,14,66.3
18,1,ME,17,54,127.8
18,2,WB,17,52,140.4
18,3,GE,17,52,130.3
18,4,PA,17,48,119.8
18,5,BL,17,44,124.9
18,6,SY,17,44,116.5
18,7,WC,17,36,98.0
18,8,ES,17,32,104.5
18,9,RI,17,32,100.8
18,10,FR,17,32,92.5
18,11,SK,17,32,86.6
18,12,GW,17,30,95.5
18,13,CA,17,28,93.9
18,14,GC,17,24,88.7
18,15,CW,17,20,89.8
18,16,AD,17,20,79.4
18,17,HW,17,18,79.0
18,18,NM,17,14,67.1
19,1,WB,18,56,139.9
19,2,GE,18,56,132.1
19,3,ME,18,54,124.2
19,4,PA,18,52,121.0
19,5,BL,18,48,127.3
19,6,SY,18,48,118.8
19,7,WC,18,40,98.6
19,8,GW,18,34,96.6
19,9,ES,18,32,103.4
19,10,RI,18,32,98.2
19,11,FR,18,32,90.3
19,12,SK,18,32,86.9
19,13,CA,18,28,91.9
19,14,GC,18,24,86.2
19,15,AD,18,24,81.5
19,16,CW,18,20,88.5
19,17,HW,18,18,79.1
19,18,NM,18,18,70.8
20,1,WB,19,60,142.0
20,2,GE,19,60,132.6
20,3,ME,19,58,131.5
20,4,PA,19,56,121.8
20,5,SY,19,52,118.0
20,6,BL,19,48,124.6
20,7,WC,19,40,95.9
20,8,FR,19,36,90.9
20,9,GW,19,34,95.1
20,10,ES,19,32,102.7
20,11,RI,19,32,98.0
20,12,CA,19,32,94.1
20,13,SK,19,32,85.9
20,14,CW,19,24,91.9
20,15,GC,19,24,81.1
20,16,AD,19,24,79.9
20,17,HW,19,22,80.8
20,18,NM,19,18,70.7
21,1,ME,20,62,130.7
21,2,WB,20,60,138.1
21,3,GE,20,60,129.1
21,4,PA,20,60,121.3
21,5,BL,20,52,128.1
21,6,SY,20,52,115.0
21,7,WC,20,40,95.5
21,8,GW,20,38,96.4
21,9,ES,20,36,103.4
21,10,RI,20,36,100.1
21,11,SK,20,36,88.2
21,12,FR,20,36,87.7
21,13,CA,20,32,93.3
21,14,GC,20,28,82.9
21,15,HW,20,26,82.7
21,16,CW,20,24,91.2
21,17,AD,20,24,80.3
21,18,NM,20,18,70.4
22,1,ME,21,66,132.3
22,2,GE,21,64,128.6
22,3,PA,21,64,127.3
22,4,WB,21,60,134.5
22,5,BL,21,56,132.7
22,6,SY,21,56,115.1
22,7,GW,21,42,98.9
22,8,ES,21,40,107.2
22,9,WC,21,40,94.9
22,10,FR,21,40,89.0
22,11,RI,21,36,97.8
22,12,SK,21,36,88.0
22,13,CA,21,32,88.7
22,14,HW,21,30,84.5
22,15,GC,21,28,80.0
22,16,CW,21,24,87.0
22,17,AD,21,24,79.2
22,18,NM,21,18,71.0
23,1,ME,22,70,130.8
23,2,PA,22,68,126.3
23,3,GE,22,64,126.7
23,4,BL,22,60,133.3
23,5,WB,22,60,132.8
23,6,SY,22,60,119.9
23,7,GW,22,46,99.7
23,8,ES,22,44,109.1
23,9,WC,22,40,93.2
23,10,SK,22,40,91.5
23,11,FR,22,40,86.5
23,12,RI,22,38,97.9
23,13,CA,22,32,88.5
23,14,HW,22,32,85.2
23,15,AD,22,28,82.0
23,16,GC,22,28,76.8
23,17,CW,22,24,85.6
23,18,NM,22,18,70.3
