,Round,Position,Team,Played,Premiership_Points,Percentage
186,12,3,GC,10,32,131.9
187,12,4,AD,11,28,130.6
188,12,5,GE,11,28,122.0
189,12,6,HW,11,28,117.4
190,12,7,WB,11,24,126.5
191,12,8,GW,11,24,109.9
192,12,9,FR,11,24,105.6
193,12,10,ES,10,24,85.0
194,12,11,ME,11,20,89.3
195,12,12,CA,11,16,102.8
196,12,13,SY,11,16,93.2
197,12,14,SK,11,16,89.8
198,12,15,PA,11,16,79.1
199,12,16,RI,11,12,69.2
200,12,17,NM,11,10,78.1
201,12,18,WC,11,4,64.6
202,13,1,CW,12,40,136.9
203,13,2,BL,12,38,114.0
204,13,3,AD,12,32,139.3
205,13,4,GC,11,32,127.8
206,13,5,GE,12,32,124.8
207,13,6,HW,12,28,110.2
208,13,7,GW,12,28,109.4
209,13,8,FR,12,28,106.4
210,13,9,WB,11,24,126.5
211,13,10,ES,11,24,84.6
212,13,11,SK,12,20,93.1
213,13,12,ME,12,20,87.6
214,13,13,CA,11,16,102.8
215,13,14,SY,12,16,85.7
216,13,15,PA,11,16,79.1
217,13,16,RI,12,12,71.1
218,13,17,NM,11,10,78.1
219,13,18,WC,12,4,64.5
220,14,1,CW,13,44,134.0
221,14,2,BL,13,38,112.6
222,14,3,AD,13,36,137.2
223,14,4,GE,13,36,126.2
224,14,5,GC,12,32,123.2
225,14,6,HW,13,32,111.8
226,14,7,GW,13,28,107.2
227,14,8,FR,12,28,106.4
228,14,9,WB,12,24,122.1
229,14,10,ES,12,24,84.9
230,14,11,CA,12,20,103.4
231,14,12,SK,12,20,93.1
232,14,13,SY,13,20,90.1
233,14,14,ME,13,20,88.3
234,14,15,PA,12,20,81.5
235,14,16,NM,12,14,79.9
236,14,17,RI,13,12,69.4
237,14,18,WC,13,4,65.3
238,15,1,CW,13,44,134.0
239,15,2,GE,14,40,133.8
240,15,3,BL,14,38,110.4
241,15,4,AD,14,36,135.2
242,15,5,HW,14,36,111.6
243,15,6,GC,12,32,123.2
244,15,7,GW,14,32,107.6
245,15,8,FR,13,32,106.6
246,15,9,WB,13,28,127.7
247,15,10,CA,13,24,106.7
248,15,11,PA,13,24,84.7
249,15,12,ES,13,24,78.9
250,15,13,SY,13,20,90.1
251,15,14,SK,13,20,87.8
252,15,15,ME,14,20,87.1
253,15,16,NM,13,14,80.6
254,15,17,RI,13,12,69.4
255,15,18,WC,14,4,65.1
256,16,1,CW,14,48,135.0
257,16,2,BL,15,42,113.4
258,16,3,GE,15,40,127.5
259,16,4,AD,14,36,135.2
260,16,5,HW,14,36,111.6
261,16,6,FR,14,36,110.0
262,16,7,GW,15,36,107.6
263,16,8,WB,14,32,133.4
264,16,9,GC,13,32,120.1
265,16,10,CA,14,24,105.1
266,16,11,SY,14,24,92.2
267,16,12,PA,14,24,84.0
268,16,13,ES,14,24,77.5
269,16,14,ME,14,20,87.1
270,16,15,SK,14,20,86.2
271,16,16,NM,14,18,82.5
272,16,17,RI,14,12,66.6
273,16,18,WC,14,4,65.1
274,17,1,CW,15,52,135.8
275,17,2,BL,15,42,113.4
276,17,3,AD,15,40,139.8
277,17,4,GE,15,40,127.5
278,17,5,HW,15,40,118.4
279,17,6,FR,15,40,110.4
280,17,7,WB,15,36,131.5
281,17,8,GC,14,36,120.3
282,17,9,GW,15,36,107.6
283,17,10,PA,15,28,88.6
284,17,11,CA,15,24,100.4
285,17,12,SY,15,24,92.1
286,17,13,ES,14,24,77.5
287,17,14,ME,15,20,86.7
288,17,15,SK,15,20,86.2
289,17,16,NM,15,18,78.5
290,17,17,RI,15,12,64.8
291,17,18,WC,15,4,65.2
292,18,1,CW,16,56,139.0
293,18,2,BL,16,46,114.7
294,18,3,AD,16,44,138.2
295,18,4,GE,16,44,132.3
296,18,5,HW,16,44,118.9
297,18,6,WB,16,40,133.2
298,18,7,GC,15,40,122.5
299,18,8,GW,16,40,112.0
300,18,9,FR,16,40,108.8
301,18,10,SY,16,28,93.4
302,18,11,PA,16,28,87.6
303,18,12,CA,16,24,96.1
304,18,13,ES,15,24,76.4
305,18,14,ME,16,20,86.7
306,18,15,SK,16,20,85.7
307,18,16,NM,16,18,77.3
308,18,17,RI,16,12,63.0
309,18,18,WC,16,4,63.9
