Round,Position,Team,Played,Premiership_Points,Percentage
1,1,GE,1,4,191.7
1,2,ME,1,4,136.6
1,3,HW,1,4,134.5
1,4,GC,1,4,133.8
1,5,CA,1,4,132.9
1,6,SY,1,4,121.7
1,7,CW,1,4,120.0
1,8,BL,1,4,115.9
1,9,FR,1,4,101.2
1,10,AD,1,0,98.8
1,11,PA,1,0,86.3
1,12,SK,1,0,83.3
1,13,GW,1,0,82.1
1,14,RI,1,0,75.2
1,15,WC,1,0,74.8
1,16,NM,1,0,74.4
1,17,WB,1,0,73.2
1,18,ES,1,0,52.2
2,1,HW,2,8,173.7
2,2,CW,2,8,141.3
2,3,SY,2,8,129.6
2,4,ME,2,8,127.9
2,5,BL,2,8,122.9
2,6,CA,2,8,122.3
2,7,GE,2,4,120.1
2,8,GC,2,4,108.6
2,9,RI,2,4,106.3
2,10,NM,2,4,96.4
2,11,SK,2,4,95.5
2,12,FR,2,4,93.9
2,13,WB,2,0,80.9
2,14,WC,2,0,76.8
2,15,AD,2,0,76.5
2,16,GW,2,0,74.7
2,17,ES,2,0,62.6
2,18,PA,2,0,62.5
3,1,BL,3,12,173.4
3,2,ME,3,12,132.4
3,3,CA,3,12,115.9
3,4,HW,3,8,144.1
3,5,FR,3,8,123.7
3,6,CW,3,8,118.6
3,7,GE,3,8,118.1
3,8,SY,3,8,116.3
3,9,SK,3,8,110.8
3,10,GC,3,4,95.1
3,11,RI,3,4,92.4
3,12,WB,3,4,89.6
3,13,GW,3,4,89.2
3,14,AD,3,4,85.8
3,15,NM,3,4,61.4
3,16,PA,3,0,73.3
3,17,WC,3,0,65.7
3,18,ES,3,0,65.0
4,1,ME,4,16,140.7
4,2,BL,4,12,148.2
4,3,FR,4,12,132.3
4,4,SK,4,12,130.3
4,5,GE,4,12,117.4
4,6,SY,4,12,115.9
4,7,CA,4,12,102.4
4,8,CW,4,8,109.9
4,9,GC,4,8,105.9
4,10,RI,4,8,104.5
4,11,HW,4,8,104.2
4,12,AD,4,4,88.6
4,13,GW,4,4,82.5
4,14,WB,4,4,81.8
4,15,WC,4,4,76.5
4,16,ES,4,4,73.9
4,17,NM,4,4,67.3
4,18,PA,4,0,69.5
5,1,ME,5,20,155.9
5,2,FR,5,16,141.7
5,3,BL,5,16,138.0
5,4,SK,5,16,132.3
5,5,SY,5,16,130.3
5,6,CA,5,16,102.6
5,7,GE,5,12,110.9
5,8,HW,5,12,106.3
5,9,CW,5,8,106.0
5,10,WB,5,8,100.7
5,11,RI,5,8,99.3
5,12,GC,5,8,98.0
5,13,AD,5,8,94.8
5,14,GW,5,4,73.0
5,15,ES,5,4,70.2
5,16,WC,5,4,69.2
5,17,NM,5,4,62.9
5,18,PA,5,0,75.1
6,1,ME,6,24,153.5
6,2,FR,6,20,144.2
6,3,BL,6,20,142.9
6,4,SY,6,20,134.9
6,5,SK,6,20,131.7
6,6,GE,6,16,121.7
6,7,CA,6,16,95.4
6,8,CW,6,12,107.2
6,9,HW,6,12,97.1
6,10,AD,6,12,95.6
6,11,WB,6,8,100.4
