Round,Position,Team,Played,Premiership_Points,Percentage
14,14,ME,13,20,88.3
14,15,PA,12,20,81.5
14,16,NM,12,14,79.9
14,17,RI,13,12,69.4
14,18,WC,13,4,65.3
15,1,CW,13,44,134.0
15,2,GE,14,40,133.8
15,3,BL,14,38,110.4
15,4,AD,14,36,135.2
15,5,HW,14,36,111.6
15,6,GC,12,32,123.2
15,7,GW,14,32,107.6
15,8,FR,13,32,106.6
15,9,WB,13,28,127.7
15,10,CA,13,24,106.7
15,11,PA,13,24,84.7
15,12,ES,13,24,78.9
15,13,SY,13,20,90.1
15,14,SK,13,20,87.8
15,15,ME,14,20,87.1
15,16,NM,13,14,80.6
15,17,RI,13,12,69.4
15,18,WC,14,4,65.1
16,1,CW,14,48,135.0
16,2,BL,15,42,113.4
16,3,GE,15,40,127.5
16,4,AD,14,36,135.2
16,5,HW,14,36,111.6
16,6,FR,14,36,110.0
16,7,GW,15,36,107.6
16,8,WB,14,32,133.4
16,9,GC,13,32,120.1
16,10,CA,14,24,105.1
16,11,SY,14,24,92.2
16,12,PA,14,24,84.0
16,13,ES,14,24,77.5
16,14,ME,14,20,87.1
16,15,SK,14,20,86.2
16,16,NM,14,18,82.5
16,17,RI,14,12,66.6
16,18,WC,14,4,65.1
17,1,CW,15,52,135.8
17,2,BL,15,42,113.4
17,3,AD,15,40,139.8
17,4,GE,15,40,127.5
17,5,HW,15,40,118.4
17,6,FR,15,40,110.4
17,7,WB,15,36,131.5
17,8,GC,14,36,120.3
17,9,GW,15,36,107.6
17,10,PA,15,28,88.6
17,11,CA,15,24,100.4
17,12,SY,15,24,92.1
17,13,ES,14,24,77.5
17,14,ME,15,20,86.7
17,15,SK,15,20,86.2
17,16,NM,15,18,78.5
17,17,RI,15,12,64.8
17,18,WC,15,4,65.2
18,1,CW,16,56,139.0
18,2,BL,16,46,114.7
18,3,AD,16,44,138.2
18,4,GE,16,44,132.3
18,5,HW,16,44,118.9
18,6,WB,16,40,133.2
18,7,GC,15,40,122.5
18,8,GW,16,40,112.0
18,9,FR,16,40,108.8
18,10,SY,16,28,93.4
18,11,PA,16,28,87.6
18,12,CA,16,24,96.1
18,13,ES,15,24,76.4
18,14,ME,16,20,86.7
18,15,SK,16,20,85.7
18,16,NM,16,18,77.3
18,17,RI,16,12,63.0
18,18,WC,16,4,63.9
