Round,Position,Team,Played,Premiership_Points,Percentage
9,11,GC,9,16,101.5
9,12,FR,9,16,98.1
9,13,RI,9,14,99.6
9,14,SY,9,12,97.7
9,15,GW,9,12,85.4
9,16,NM,9,8,62.9
9,17,WC,9,4,60.5
9,18,HW,9,4,60.0
10,1,CW,10,36,131.3
10,2,BL,10,32,129.9
10,3,PA,10,32,111.5
10,4,ME,10,28,138.4
10,5,SK,10,28,120.1
10,6,WB,10,28,108.6
10,7,GE,10,20,120.6
10,8,AD,10,20,107.4
10,9,ES,10,20,102.6
10,10,FR,10,20,101.6
10,11,CA,10,18,99.6
10,12,SY,10,16,98.3
10,13,GC,10,16,96.1
10,14,RI,10,14,99.5
10,15,GW,10,12,85.5
10,16,HW,10,8,73.7
10,17,NM,10,8,66.0
10,18,WC,10,4,55.4
11,1,CW,11,40,133.0
11,2,PA,11,36,111.8
11,3,BL,11,32,124.7
11,4,ME,11,28,133.9
11,5,SK,11,28,116.5
11,6,WB,11,28,106.9
11,7,AD,11,24,108.7
11,8,ES,11,24,107.9
11,9,FR,11,24,102.3
11,10,GE,11,20,118.1
11,11,SY,11,20,101.2
11,12,GC,11,20,97.2
11,13,CA,11,18,96.7
11,14,GW,11,16,87.3
11,15,RI,11,14,98.4
11,16,HW,11,12,76.7
11,17,NM,11,8,66.1
11,18,WC,11,4,54.8
12,1,CW,12,44,138.4
12,2,PA,12,40,116.2
12,3,ME,12,32,134.1
12,4,BL,11,32,124.7
12,5,SK,11,28,116.5
12,6,ES,12,28,107.8
12,7,WB,12,28,103.7
12,8,GE,12,24,118.9
12,9,AD,12,24,105.2
12,10,FR,11,24,102.3
12,11,GC,12,24,100.0
12,12,SY,11,20,101.2
12,13,RI,12,18,99.2
12,14,CA,12,18,95.1
12,15,GW,12,16,88.0
12,16,HW,12,12,75.0
12,17,NM,12,8,68.5
12,18,WC,12,4,54.1
13,1,CW,13,44,135.1
13,2,PA,13,44,117.0
13,3,ME,13,36,132.3
13,4,BL,12,32,119.6
13,5,SK,12,32,116.9
13,6,ES,13,32,110.6
13,7,AD,13,28,116.5
13,8,WB,13,28,101.1
13,9,GE,12,24,118.9
13,10,FR,12,24,100.6
13,11,GC,12,24,100.0
13,12,RI,13,22,100.7
13,13,SY,12,20,99.7
13,14,GW,13,20,91.1
13,15,CA,13,18,92.2
13,16,HW,13,16,78.5
13,17,NM,13,8,68.8
13,18,WC,13,4,51.4
14,1,PA,14,48,119.3
14,2,CW,13,44,135.1
14,3,ME,13,36,132.3
14,4,BL,13,36,119.6
14,5,SK,13,32,113.1
14,6,ES,13,32,110.6
14,7,WB,14,32,102.9
14,8,AD,13,28,116.5
14,9,RI,14,26,102.4
14,10,GE,13,24,113.6
14,11,GW,14,24,97.0
14,12,GC,13,24,94.7
14,13,FR,13,24,94.3
14,14,CA,14,22,98.1
14,15,SY,13,20,98.3
14,16,HW,13,16,78.5
14,17,NM,14,8,69.6
14,18,WC,13,4,51.4
15,1,CW,14,48,132.4
15,2,PA,14,48,119.3
15,3,BL,14,40,121.1
15,4,ME,14,36,128.3
15,5,SK,14,32,109.2
15,6,ES,14,32,107.0
15,7,WB,14,32,102.9
15,8,AD,14,28,115.1
15,9,GE,14,28,114.2
15,10,GC,14,28,100.7
15,11,FR,14,28,97.3
15,12,RI,14,26,102.4
15,13,SY,14,24,113.3
15,14,GW,14,24,97.0
15,15,CA,14,22,98.1
15,16,HW,14,16,75.1
15,17,NM,14,8,69.6
15,18,WC,14,4,47.3
16,1,CW,15,52,138.8
16,2,PA,15,52,118.4
16,3,BL,15,44,127.2
16,4,ME,15,36,126.9
16,5,SK,15,36,109.3
16,6,WB,15,36,105.2
16,7,AD,15,32,119.6
16,8,ES,15,32,106.2
16,9,GE,15,30,113.5
16,10,GW,15,28,97.3
16,11,FR,15,28,95.2
16,12,GC,15,28,94.5
16,13,SY,15,26,112.7
16,14,CA,15,26,103.4
16,15,RI,15,26,95.6
16,16,HW,15,16,72.9
16,17,NM,15,8,68.1
16,18,WC,15,4,49.3
17,1,CW,16,56,137.1
17,2,PA,16,56,119.9
17,3,BL,16,48,133.2
17,4,ME,16,40,127.4
17,5,ES,16,36,107.1
17,6,SK,16,36,106.8
17,7,WB,16,36,103.9
17,8,GE,16,34,117.7
17,9,AD,16,32,116.6
17,10,GW,16,32,98.4
17,11,CA,16,30,107.8
17,12,RI,16,30,96.9
17,13,GC,16,28,92.5
17,14,FR,16,28,91.7
17,15,SY,16,26,110.8
17,16,HW,16,16,73.5
17,17,NM,16,8,66.8
17,18,WC,16,4,48.2
18,1,CW,17,60,139.0
18,2,PA,17,56,114.7
18,3,BL,17,48,130.4
18,4,ME,17,44,125.1
18,5,GE,17,38,122.9
18,6,SK,17,36,104.3
18,7,WB,17,36,103.5
18,8,ES,17,36,101.2
18,9,GW,17,36,99.4
18,10,CA,17,34,111.4
18,11,RI,17,34,99.8
18,12,AD,17,32,114.8
18,13,GC,17,32,94.6
18,14,SY,17,30,110.3
18,15,FR,17,28,89.3
18,16,HW,17,20,77.3
18,17,NM,17,8,65.8
18,18,WC,17,4,48.8
19,1,CW,18,64,136.5
19,2,PA,18,56,113.7
19,3,BL,18,52,130.0
19,4,ME,18,48,123.7
19,5,WB,18,40,106.4
19,6,SK,18,40,104.7
19,7,GW,18,40,102.2
19,8,GE,18,38,121.0
19,9,CA,18,38,116.1
19,10,RI,18,38,99.9
19,11,ES,18,36,98.4
19,12,SY,18,34,111.8
19,13,AD,18,32,113.5
19,14,GC,18,32,92.3
19,15,FR,18,28,88.1
19,16,HW,18,20,78.5
19,17,NM,18,8,66.6
19,18,WC,18,4,48.9
20,1,CW,19,64,132.7
20,2,PA,19,56,109.8
20,3,BL,19,52,125.2
20,4,ME,19,52,124.3
20,5,SK,19,44,106.5
20,6,GW,19,44,102.4
20,7,CA,19,42,116.5
20,8,WB,19,40,105.7
20,9,GE,19,38,119.5
20,10,SY,19,38,111.2
20,11,RI,19,38,97.9
20,12,AD,19,36,116.0
20,13,ES,19,36,98.4
20,14,GC,19,36,95.2
20,15,FR,19,32,89.0
20,16,HW,19,20,78.4
20,17,NM,19,8,67.6
20,18,WC,19,8,50.6
21,1,CW,20,64,128.0
21,2,ME,20,56,125.3
21,3,BL,20,56,124.2
21,4,PA,20,56,108.5
21,5,CA,20,46,117.2
21,6,WB,20,44,109.0
21,7,SK,20,44,104.9
21,8,GW,20,44,101.6
21,9,GE,20,42,119.2
21,10,SY,20,42,111.3
21,11,AD,20,40,117.1
21,12,ES,20,40,98.5
21,13,RI,20,38,94.8
21,14,GC,20,36,93.8
21,15,FR,20,32,89.3
21,16,HW,20,24,80.9
21,17,NM,20,8,67.6
21,18,WC,20,8,52.1
22,1,CW,21,68,126.7
22,2,BL,21,60,123.2
22,3,PA,21,60,111.0
22,4,ME,21,56,124.0
22,5,CA,21,50,116.8
22,6,SK,21,48,107.0
22,7,SY,21,46,112.1
22,8,WB,21,44,108.5
22,9,ES,21,44,99.1
22,10,GW,21,44,98.6
22,11,GE,21,42,117.5
22,12,AD,21,40,115.8
22,13,RI,21,38,93.1
22,14,FR,21,36,95.2
22,15,GC,21,36,92.8
22,16,HW,21,28,81.7
22,17,NM,21,8,68.5
22,18,WC,21,8,50.6
23,1,CW,22,68,123.2
23,2,BL,22,64,123.2
23,3,PA,22,64,111.5
23,4,ME,22,60,124.8
23,5,CA,22,54,116.1
23,6,SK,22,52,108.9
23,7,SY,22,50,111.6
23,8,GW,22,48,105.6
23,9,WB,22,44,107.6
23,10,ES,22,44,92.7
23,11,GE,22,42,114.7
23,12,RI,22,42,94.9
23,13,AD,22,40,115.1
23,14,FR,22,36,94.6
23,15,GC,22,36,93.0
23,16,HW,22,28,81.2
23,17,WC,22,12,52.5
23,18,NM,22,8,68.7
24,1,CW,23,72,127.0
24,2,BL,23,68,123.1
24,3,PA,23,68,112.7
24,4,ME,23,64,125.2
24,5,CA,23,54,113.3
24,6,SK,23,52,107.8
24,7,GW,23,52,107.1
24,8,SY,23,50,110.0
24,9,WB,23,48,108.7
24,10,AD,23,44,116.8
24,11,ES,23,44,89.7
24,12,GE,23,42,112.6
24,13,RI,23,42,93.6
24,14,FR,23,40,96.7
24,15,GC,23,36,91.7
24,16,HW,23,28,80.2
24,17,NM,23,12,71.5
24,18,WC,23,12,53.0
