Round,Position,Team,Played,Premiership_Points,Percentage
1,1,ES,1,4,190.8
1,2,SY,1,4,180.3
1,3,ME,1,4,176.9
1,4,PA,1,4,175.0
1,5,SK,1,4,128.8
1,6,CW,1,4,121.4
1,7,GW,1,4,117.8
1,8,NM,1,4,106.1
1,9,RI,1,2,100.0
1,10,CA,1,2,100.0
1,11,WC,1,0,94.3
1,12,AD,1,0,84.9
1,13,GE,1,0,82.4
1,14,FR,1,0,77.6
1,15,BL,1,0,57.1
1,16,WB,1,0,56.5
1,17,GC,1,0,55.5
1,18,HW,1,0,52.4
2,1,SY,2,8,232.7
2,2,SK,2,8,171.0
2,3,ES,2,8,160.0
2,4,CW,2,8,155.7
2,5,NM,2,8,103.9
2,6,RI,2,6,123.9
2,7,CA,2,6,105.7
2,8,ME,2,4,124.7
2,9,WC,2,4,108.3
2,10,GW,2,4,98.4
2,11,PA,2,4,91.8
2,12,BL,2,4,79.3
2,13,FR,2,0,88.6
2,14,GE,2,0,86.0
2,15,AD,2,0,77.6
2,16,GC,2,0,64.7
2,17,WB,2,0,51.2
2,18,HW,2,0,42.1
3,1,SK,3,12,150.3
3,2,CW,3,12,149.5
3,3,CA,3,10,108.8
3,4,ME,3,8,136.8
3,5,SY,3,8,134.5
3,6,ES,3,8,129.1
3,7,NM,3,8,94.4
3,8,RI,3,6,109.1
3,9,FR,3,4,112.1
3,10,GW,3,4,95.1
3,11,AD,3,4,94.3
3,12,WC,3,4,90.2
3,13,PA,3,4,85.2
3,14,BL,3,4,79.3
3,15,GC,3,4,78.7
3,16,WB,3,4,66.5
3,17,HW,3,4,60.1
3,18,GE,3,0,83.0
4,1,SK,4,16,160.4
4,2,CA,4,14,114.2
4,3,ME,4,12,149.8
4,4,ES,4,12,126.3
4,5,CW,4,12,122.3
4,6,SY,4,8,126.2
4,7,AD,4,8,105.9
4,8,BL,4,8,93.3
4,9,NM,4,8,89.4
4,10,PA,4,8,88.1
4,11,WB,4,8,76.2
4,12,RI,4,6,104.5
4,13,GE,4,4,109.9
4,14,FR,4,4,95.6
4,15,GW,4,4,92.6
4,16,WC,4,4,77.6
4,17,GC,4,4,71.2
4,18,HW,4,4,52.8
5,1,SK,5,16,144.1
5,2,ES,5,16,128.0
5,3,CW,5,16,120.2
5,4,CA,5,14,96.3
5,5,SY,5,12,132.4
5,6,ME,5,12,130.6
5,7,AD,5,12,118.0
5,8,BL,5,12,111.7
5,9,PA,5,12,92.8
5,10,GE,5,8,119.0
5,11,FR,5,8,99.0
5,12,GW,5,8,94.4
5,13,NM,5,8,77.5
5,14,WB,5,8,76.8
5,15,RI,5,6,92.4
5,16,GC,5,4,75.1
5,17,WC,5,4,74.5
5,18,HW,5,4,59.6
6,1,SK,6,20,142.9
6,2,CW,6,20,119.7
6,3,ME,6,16,129.4
6,4,ES,6,16,120.0
6,5,AD,6,16,115.9
6,6,BL,6,16,113.8
6,7,PA,6,16,101.6
6,8,CA,6,14,92.4
6,9,GE,6,12,137.7
6,10,SY,6,12,105.7
6,11,WB,6,12,90.3
6,12,GW,6,8,91.6
6,13,FR,6,8,89.9
6,14,GC,6,8,85.5
6,15,NM,6,8,73.9
6,16,RI,6,6,90.3
6,17,WC,6,4,72.6
6,18,HW,6,4,64.5
7,1,CW,7,24,117.7
7,2,ME,7,20,143.5
7,3,SK,7,20,133.2
7,4,BL,7,20,120.4
7,5,PA,7,20,102.5
7,6,CA,7,18,113.3
7,7,GE,7,16,135.7
7,8,AD,7,16,114.1
7,9,ES,7,16,111.1
7,10,WB,7,16,96.7
7,11,SY,7,12,104.6
7,12,GW,7,12,93.1
7,13,GC,7,12,90.8
7,14,FR,7,8,84.2
7,15,NM,7,8,66.5
7,16,RI,7,6,87.3
7,17,HW,7,4,65.1
7,18,WC,7,4,64.3
8,1,CW,8,28,121.2
8,2,ME,8,24,138.3
8,3,SK,8,24,137.1
8,4,BL,8,24,122.0
8,5,PA,8,24,103.0
8,6,GE,8,20,135.7
8,7,WB,8,20,99.5
8,8,CA,8,18,107.1
8,9,ES,8,16,109.0
8,10,AD,8,16,108.1
8,11,SY,8,12,99.9
8,12,FR,8,12,95.4
8,13,GW,8,12,91.9
8,14,GC,8,12,91.3
8,15,RI,8,10,95.7
8,16,NM,8,8,65.4
8,17,WC,8,4,63.3
8,18,HW,8,4,61.6
9,1,CW,9,32,129.7
9,2,ME,9,28,143.6
9,3,BL,9,28,126.6
9,4,PA,9,28,112.1
9,5,SK,9,24,120.8
9,6,WB,9,24,102.5
9,7,GE,9,20,127.5
9,8,AD,9,20,114.4
9,9,CA,9,18,103.5
9,10,ES,9,16,102.7
