Rd 1 Ladder
RI	13	8	64.9
NM	12	4	58.6
Rd 15 Ladder
SY	13	48	149.8
CA	13	36	109.8
CW	14	36	107.3
ES	13	34	100.2
GW	13	32	114.2
GE	13	32	108.9
PA	13	32	108.8
FR	13	30	111.1
WB	14	28	119.7
GC	13	28	107.9
ME	13	28	100.1
HW	14	28	92.7
BL	13	26	115.8
SK	14	20	92.2
AD	14	18	102.6
WC	13	12	72.6
RI	14	8	63.9
NM	13	4	61.9
Rd 16 Ladder
SY	14	52	148.8
CA	14	40	114.5
ES	14	38	102.7
CW	14	36	107.3
FR	14	34	112.3
GW	14	32	110.5
GE	14	32	102.9
PA	14	32	101.0
ME	14	32	100.4
BL	14	30	122.1
WB	14	28	119.7
GC	14	28	105.5
HW	14	28	92.7
SK	14	20	92.2
AD	14	18	102.6
WC	14	12	72.9
RI	14	8	63.9
NM	14	4	63.4
Rd 17 Ladder
SY	15	52	144.2
CA	15	44	118.5
FR	15	38	111.3
ES	15	38	99.0
GE	15	36	106.2
CW	15	36	105.8
PA	15	36	101.1
BL	15	34	121.0
WB	15	32	120.2
GW	15	32	108.4
GC	15	32	106.0
ME	15	32	99.9
HW	15	32	97.9
AD	15	22	103.8
SK	15	20	92.5
WC	15	12	70.4
RI	15	8	63.0
NM	15	4	64.1
Rd 18 Ladder
SY	16	52	140.8
CA	16	44	116.1
FR	16	42	115.1
ES	16	42	99.9
GE	16	40	109.7
PA	16	40	104.8
BL	16	38	120.4
GW	16	36	108.6
CW	16	36	104.5
ME	16	36	104.4
WB	16	32	114.8
GC	16	32	105.3
HW	16	32	94.2
SK	16	24	93.1
AD	16	22	102.6
WC	16	12	69.1
NM	16	8	66.1
RI	16	8	62.3
Rd 19 Ladder
SY	17	56	145.3
CA	17	44	114.1
GE	17	44	110.6
BL	17	42	120.0
FR	17	42	113.1
ES	17	42	98.8
GW	17	40	109.8
ME	17	40	105.5
PA	17	40	103.4
WB	17	36	114.9
GC	17	36	106.0
CW	17	36	102.9
HW	17	36	95.4
AD	17	26	105.0
SK	17	24	91.1
WC	17	12	70.3
NM	17	8	64.3
RI	17	8	63.2
Rd 20 Ladder
SY	18	56	142.4
CA	18	48	114.5
BL	18	46	119.0
FR	18	46	116.2
GW	18	44	112.2
GE	18	44	106.8
PA	18	44	106.0
ES	18	42	98.7
WB	18	40	117.7
ME	18	40	101.4
HW	18	40	100.1
GC	18	36	103.0
CW	18	36	98.4
AD	18	30	104.7
SK	18	28	96.6
WC	18	12	68.1
NM	18	8	65.3
RI	18	8	63.3
Rd 21 Ladder
SY	19	56	136.9
BL	19	50	120.1
FR	19	50	117.8
CA	19	48	112.9
GW	19	48	111.6
GE	19	48	109.1
PA	19	48	106.7
WB	19	44	119.8
HW	19	44	104.5
ES	19	42	95.6
ME	19	40	101.2
CW	19	40	100.1
GC	19	36	101.1
SK	19	32	100.5
AD	19	30	100.1
WC	19	12	68.1
NM	19	8	65.1
RI	19	8	63.7
Rd 22 Ladder
SY	20	56	126.1
BL	20	54	125.1
PA	20	52	113.6
GW	20	52	111.2
GE	20	52	108.9
FR	20	50	116.7
WB	20	48	122.4
CA	20	48	112.1
ES	20	46	95.9
HW	20	44	104.1
CW	20	44	100.2
ME	20	40	97.9
GC	20	36	100.4
SK	20	32	94.9
AD	20	30	99.8
WC	20	16	70.0
NM	20	12	67.0
RI	20	8	64.7
Rd 23 Ladder
SY	21	60	124.9
PA	21	56	113.3
GW	21	56	111.8
GE	21	56	109.2
BL	21	54	122.7
FR	21	50	115.2
WB	21	48	118.5
HW	21	48	108.5
CA	21	48	107.4
ES	21	46	96.0
CW	21	44	100.1
GC	21	40	100.5
ME	21	40	97.9
SK	21	36	98.1
AD	21	34	102.1
WC	21	20	71.7
NM	21	12	68.3
RI	21	8	64.1
Rd 24 Ladder
SY	22	64	126.3
PA	22	60	114.2
GW	22	60	111.7
GE	22	56	107.7
BL	22	54	121.6
WB	22	52	123.8
HW	22	52	111.8
CA	22	52	110.7
FR	22	50	113.7
CW	22	48	100.1
ES	22	46	94.2
ME	22	44	101.1
SK	22	40	99.3
GC	22	40	97.5
AD	22	34	100.8
WC	22	20	70.0
NM	22	12	66.1
RI	22	8	63.4
Rd 25 Ladder
SY	23	68	126.7
PA	23	64	114.8
GE	23	60	112.2
GW	23	60	109.1
BL	23	58	121.9
WB	23	56	125.1
HW	23	56	118.5
CA	23	52	110.2
CW	23	52	102.5
FR	23	50	111.9
ES	23	46	93.5
SK	23	44	99.4
GC	23	44	99.1
ME	23	44	98.5
AD	23	34	99.1
WC	23	20	68.1
NM	23	12	63.5
RI	23	8	63.7
