Round,Date,Home v Away Teams,Venue,Crowd,Result,Disposals,Goals
8,Sun 9 May 1:10pm,Hawthorn v West Coast,MCG,15277,60-98,T. Mitchell 41,B. Ah Chee 4
8,Sun 9 May 3:20pm,Western Bulldogs v Carlton,Marvel Stadium,27663,107-91,J. Macrae 32,M. Bontempelli 32; E. Betts 5; J. Bruce 5
8,Sun 9 May 4:40pm,Brisbane v Fremantle,Gabba,15403,95-71,D. Rich 31,C. Cameron 3; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
9,Fri 14 May 7:50pm,St Kilda v Geelong,Marvel Stadium,26712,47-68,C. Guthrie 36,-
9,Sat 15 May 1:45pm,Sydney v Collingwood,SCG,31448,72-42,B. Maynard 29,I. Heeney 3
9,Sat 15 May 2:10pm,Hawthorn v North Melbourne,UTAS Stadium,9121,80-87,J. Simpkin 38,C. Zurhaar 4
9,Sat 15 May 4:35pm,Gold Coast v Brisbane,People First Stadium,12636,51-124,J. Lyons 37,D. McStay 4
9,Sat 15 May 7:10pm,Port Adelaide v Western Bulldogs,Adelaide Oval,32787,77-96,J. Macrae 32,O. Wines 32; A. Naughton 4
9,Sat 15 May 7:25pm,Richmond v GWS,Marvel Stadium,18798,87-83,J. Hopper 35,D. Martin 4; J. Hogan 4
9,Sun 16 May 1:10pm,Essendon v Fremantle,Marvel Stadium,26357,68-61,D. Parish 39,M. Taberner 4
9,Sun 16 May 2:40pm,West Coast v Adelaide,Optus Stadium,43427,106-76,R. Laird 36,J. Darling 5
9,Sun 16 May 3:20pm,Melbourne v Carlton,MCG,38581,94-68,S. Walsh 30,H. McKay 3; T. McDonald 3; B. Fritsch 3; DateHome v Away TeamsVenueCrowdResultDisposalsGoals
10,Fri 21 May 7:50pm,Brisbane v Richmond,Gabba,31127,102-74,D. Zorko 28,E. Hipwood 4; Z. Bailey 4
10,Sat 22 May 1:45pm,Carlton v Hawthorn,MCG,45741,86-63,T. Mitchell 44,L. Breust 3
10,Sat 22 May 2:10pm,Geelong v Gold Coast,GMHBA Stadium,22055,91-57,J. Selwood 39,J. Cameron 3; B. King 3
